riscv,uopc,iq,fu,category,token,medium_ports,hw_units,demand,prior_w_mA
XORI,uopXORI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLTI,uopSLTI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLTIU,uopSLTIU,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLL,uopSLL,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ADD,uopADD,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SUB,uopSUB,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLT,uopSLT,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLTU,uopSLTU,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
AND,uopAND,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
OR,uopOR,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
XOR,uopXOR,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
